registered_name,time,zwid,zp_name,points
Daniel unt,138.582,182368,Daniel Hunt (LEQP Mistral),0
Jeroen Speelmans,139.013,1401963,Jeroen Speelmans (LEQP Hunters),0
Ross Hetherington,139.126,129517,Ross Hetherington &#128012; (R3R ACDC),0
James Eastwood,139.463,353326,James Eastwood (Socks4Watts #AeroAF),0
Rob Valdes,139.702,2694010,Rob Valdes (Islington Cycling Club B),0
Lukas Pedersen,139.848,1495980,Lukas Pedersen,0
Neil Hodgson,140.198,7520,Neil Hodgson (OTR Prolog) ,0
Karel Smeets,140.266,1402075,Karel Smeets (Vegan Badgers),0
john hughes,141.088,1354923,John Hughes (Electricspirit.co B3a),0
Carl Krystek,141.521,609290,Carl Krystek (Team Vegan),0
