registered_name,time,zwid,zp_name,points
Ollie Fussell,164.294,1976644,Ollie Fussell (SDW YOUTH),0
Jimbo V,167.016,3297493,Jimbo Viny (TFC),0
Kent Smith,168.777,919918,Kent Smith (TT1 Humalogs),0
Christopher Price,169.22,189331,Christopher Price (TT1 Hypers),0
Cefn O'Ryan,169.299,740252,Cefn O&rsquo;Ryan (ART Fusion),0
Linny O'Rourke,171.907,478016,Linny O&#039;Rourke (ART Ions),0
Mary Swindles,171.999,1140029,Mary Swindles (ART Fusion),0
David Nielsen,173.88,2773311,. Ya Boyee! [Team Vegan],0
Tim Coppens,174.332,2139446,Tim Coppens&#127793; [Team Vegan],0
Mark Kassels,174.907,1554576,Mark Kassels(TT1 Humalogs)9115,0
