registered_name,category,gender,display_race_time,race_time,time_diff,zwid,zp_name,team,subteam
Dan O'Shea,a,1,0:24:29.395000,1469.39499999999998181010596454143524169921875,0:01:18.115000,390505,D anno (R3R Dev),R3R Dev Red Hot Chilli Peppers,
Thomas Cromarty,a,1,0:24:29.516000,1469.51600000000007639755494892597198486328125,0:01:18.236000,13178,Tom Cromarty (R3R Dev),R3R Dev Black Eyed Peas,
Simon de Kerpel,a,1,0:24:29.542000,1469.54199999999991632648743689060211181640625,0:01:18.262000,401098,Simon de Kerpel (R3R Dev),R3R Dev Red Hot Chilli Peppers,
Zico Torre,a,1,0:24:29.587000,1469.58699999999998908606357872486114501953125,0:01:18.307000,1001637,Zico Torre \u24cb [Team Vegan],Team Vegan Alpacas,
Robin Braam,a,1,0:24:29.693000,1469.692999999999983629095368087291717529296875,0:01:18.413000,1344107,Robin Braam (Team Vegan),Team Vegan Alpacas,
Mark Robinson,a,1,0:24:29.859000,1469.85899999999992360244505107402801513671875,0:01:18.579000,693429,M ROBBO (R3R Dev),R3R Dev Red Hot Chilli Peppers,
Neil Turner,a,1,0:24:29.995000,1469.9949999999998908606357872486114501953125,0:01:18.715000,1360468,Neil Turner (Race3R),Race3R,
liam Baister,a,1,0:24:30.953000,1470.95299999999997453414835035800933837890625,0:01:19.673000,857919,Liam Baister  (ART Nuclear),ART Nuclear,
Noah Balch,a,1,0:25:06.270000,1506.26999999999998181010596454143524169921875,0:01:54.990000,1270113,Noah Balch [OTR Blur],On the Rivet,
Pete Brookes,a,1,0:25:06.390000,1506.390000000000100044417195022106170654296875,0:01:55.110000,1012404,Pete Brookes (ART Nuclear),ART Nuclear,
Mike Christensen,a,1,0:25:06.499000,1506.499000000000023646862246096134185791015625,0:01:55.219000,855068,Mike Christensen (OTR),On the Rivet,
Filipe Afonso,a,1,0:25:06.698000,1506.698000000000092768459580838680267333984375,0:01:55.418000,2070175,Filipe Afonso (Jic Racing),JIC RACING TEAM,
Andrew Robinson,a,1,0:25:06.833000,1506.83300000000008367351256310939788818359375,0:01:55.553000,100901,Andrew Robinson (TFC),TFC,
Mark Scoot,a,1,0:25:06.875000,1506.875,0:01:55.595000,62584,Mark  Scoot [Team Vegan] ,Team Vegan Alpacas,
Dan welch,a,1,0:25:06.878000,1506.877999999999929059413261711597442626953125,0:01:55.598000,758463,Dan Welch  (C4C),Green machine,
Billy Laight,a,1,0:25:06.912000,1506.912000000000034560798667371273040771484375,0:01:55.632000,227155,Billy Laight (R3R DEV),R3R Dev Black Eyed Peas,
Joe Monks,a,1,0:25:07.058000,1507.0579999999999927240423858165740966796875,0:01:55.778000,559287,Joe Monks (Race3R),Race3R,
Tom Lovejoy,a,1,0:25:07.259000,1507.259000000000014551915228366851806640625,0:01:55.979000,21298,T Lovejoy (R3R),Race3R,
James Hayward,a,1,0:25:07.327000,1507.326999999999998181010596454143524169921875,0:01:56.047000,410468,James Hayward (Socks4Watts),Socks4Watts,
Kilian Hemart,a,1,0:25:07.412000,1507.412000000000034560798667371273040771484375,0:01:56.132000,488019,Kilian [Team Vegan Antelopes],Team Vegan Antelopes,
Mark Suret,a,1,0:25:07.436000,1507.435999999999921783455647528171539306640625,0:01:56.156000,879426,Mark Suret (R3R Dev),R3R Dev Black Eyed Peas,
Stuart Gough,a,1,0:25:07.829000,1507.828999999999950887286104261875152587890625,0:01:56.549000,836562,Stuart Gough,Beds Road RT,
Erich Byers,a,1,0:25:08.199000,1508.19900000000006912159733474254608154296875,0:01:56.919000,1462466,Erich Byers [Team Vegan Antelopes],Team Vegan Antelopes,
Kristin Moat,a,2,0:25:08.276000,1508.276000000000067302607931196689605712890625,0:01:56.996000,415493,M oaty  (R3R Dev),R3R Dev Black Eyed Peas,
Goran Salavec,a,1,0:25:08.286000,1508.2860000000000582076609134674072265625,0:01:57.006000,92474,Goran Salavec [R3R],Race3R,
Jude Milburn,a,1,0:25:08.408000,1508.40799999999990177457220852375030517578125,0:01:57.128000,1451885,Jude Milburn (Race3R),Race3R,
Rich Lythgoe,a,1,0:25:09.802000,1509.801999999999907231540419161319732666015625,0:01:58.522000,1503420,  Rich L [Team Vegan],Team Vegan Antelopes,
Simone Sighinolfi,a,1,0:25:10.121000,1510.1210000000000945874489843845367431640625,0:01:58.841000,1085650,Simone Sighinolfi \u24cb [TEAM VEGAN],Team Vegan Antelopes,
Erik Haugen,a,1,0:25:15.759000,1515.759000000000014551915228366851806640625,0:02:04.479000,885598,Erik Haugen [nopinzR3R],NOPINZ R3R,
Stu Gardiner,a,1,0:25:22.736000,1522.736000000000103682396002113819122314453125,0:02:11.456000,446939,Stu Gardiner [Team Vegan],Team Vegan Antelopes,
Les Corran,a,1,0:26:00.614000,1560.61400000000003274180926382541656494140625,0:02:49.334000,255535,LES CORRAN (ART Nuclear),ART Nuclear,
Brent Dickie,a,1,0:26:04.147000,1564.1469999999999345163814723491668701171875,0:02:52.867000,210021,Brent Dickie [WTRL],On the Rivet,
Tom Bass,a,1,0:26:11.885000,1571.884999999999990905052982270717620849609375,0:03:00.605000,457241,Tom Bass (LEQP) ,LEQP,
Cody Juntikka,a,1,0:26:12.622000,1572.622000000000070940586738288402557373046875,0:03:01.342000,2651512,Cody Juntikka [OTR],On the Rivet,
Jonny Winward,a,1,0:26:13.098000,1573.097999999999956344254314899444580078125,0:03:01.818000,53428,Jonny Winward (WKG),WKG,
Chris Debonnaire,a,1,0:27:05.660000,1625.660000000000081854523159563541412353515625,0:03:54.380000,1456559,Chris Debonnaire (S4W),Socks4Watts,
Giles Aldridge,a,1,0:27:06.458000,1626.45800000000008367351256310939788818359375,0:03:55.178000,1490752,Giles Aldridge (ART Nuclear),ART Nuclear,
Jens Holloch,a,1,0:27:06.751000,1626.750999999999976353137753903865814208984375,0:03:55.471000,2793838,Jens Holloch [Team Vegan],Green Machine,
