registered_name,gender,time,zwid,zp_name,points
Jane Geddes,2,16.671,1150516,Jane Geddes (Vegan Badgers),20
Fran Bambust,2,17.261,427114,Fran Bambust ,15
Annette Golawska,2,18.126,1175543,Annette Golawska (Socks4Watts),10
Debra Sluz Parker,2,18.134,260577,Debra Sluz Parker (KISS W),8
Jenni Kinnunen,2,18.441,897935,Jenni Kinnunen [RAVE],6
Donna Watts,2,19.082,2470767,Donna Watts (Socks4Watts SBR Cake),5
Lisa-jane Lait,2,19.56,384525,Lisa-jane Lait [RAVE],4
Anne-Marie Benoy,2,20.893,624035,Anne-Marie Benoy [AEO],3
