registered_name,category,gender,display_race_time,race_time,time_diff,zwid,zp_name,team,subteam
Patrick Harvey,c,1,0:26:34.701000,1594.7010000000000218278728425502777099609375,0:00:00,88086,Patch  Harvey [ BRT ],BRT,
Jamie Watson,c,1,0:26:35.151000,1595.151000000000067302607931196689605712890625,0:00:00.450000,448811,Jamie Watson (BRT) ,BRT,
Philip Sudworth,c,1,0:26:35.521000,1595.520999999999958163243718445301055908203125,0:00:00.820000,314508,Philip Sudworth (TFC),TFC,
Warren Honey,c,1,0:26:35.988000,1595.988000000000056388671509921550750732421875,0:00:01.287000,1059788,Warren Honey \u26a1\ufe0f\U0001f9a1 \U0001f9f9(BRT Badgers),BRT,
Jason Feltus,c,1,0:26:37.350000,1597.34999999999990905052982270717620849609375,0:00:02.649000,91269,Jason Feltus Race 3R (1),Race3R,
Yann Gauthier,c,1,0:26:37.942000,1597.9420000000000072759576141834259033203125,0:00:03.241000,2165224,Yann Gauthier,B&L,
Craig Gritzen,c,1,0:26:38.126000,1598.125999999999976353137753903865814208984375,0:00:03.425000,527678,C raig [VEGAN Crocodiles]\u270a\U0001f3fc,Team Vegan Crocodiles,
Dean Hardie,c,1,0:26:41.605000,1601.60500000000001818989403545856475830078125,0:00:06.904000,96086,Dean Hardie (TFC),TFC,
Dean Marriott,c,1,0:26:41.935000,1601.93499999999994543031789362430572509765625,0:00:07.234000,410330,Dean Marriott [Team Vegan],Team Vegan Spinach,
Guy Vandersmissen,c,1,0:26:44.286000,1604.2860000000000582076609134674072265625,0:00:09.585000,980133,Guy Vdsmis (TFC),TFC,
Liam Chell,c,1,0:26:44.566000,1604.566000000000030922819860279560089111328125,0:00:09.865000,2677607,Liam Chell (TFC),TFC,
Juan Vandromme,c,1,0:27:07.696000,1627.69599999999991268850862979888916015625,0:00:32.995000,2496476,Juan  Vandromme [Herd],Herd,
Daniel Ongley,c,1,0:27:08.897000,1628.8969999999999345163814723491668701171875,0:00:34.196000,2791237,Dan Ongley (ART Neutrons),ART Neutrons,
David hill,c,1,0:27:09.194000,1629.19399999999995998223312199115753173828125,0:00:34.493000,964610,david  hill TFC ,TFC,
David Swan,c,1,0:27:10.549000,1630.5489999999999781721271574497222900390625,0:00:35.848000,246094,David  Swan \u26a1[BRT] C TC,BRT,
