registered_name,time,zwid,zp_name,points
Adam C.,13.173,70177,~ Cycopath ~ (Team Vegan) ,12
Erik Haugen,13.601,885598,Erik Haugen (Nopinz R3R),10
Tim Elskens,13.638,861277,Tim Elskens (SPSD),8
Oliver Milk,13.712,50486,Oliver Milk,7
Antti Vale,13.762,195687,Antti Valve (FZR),6
Hywel Davies,13.771,1119043,Hywel Davies (BRT),5
Duncan Johnson,14.092,2124922,Duncan Johnson (OTR),4
Robert McEwan,14.119,619770,Robert McEwan (TFC Typhoon),3
Alex TenElshof,14.326,485822,Alex TenElshof &#127755; (Finesse),2
Hans-Georg Becker,14.534,1765,H-G Becker (VZT) &#128062;,1
