registered_name,gender,time,zwid,zp_name,points
Craig Christie ,1,15.838,130703,Craig Christie  (BRT Badgers),20
David hill,1,16.16,964610,david hill (TFC Lancaster),15
Philip Sudworth,1,16.829,314508,Philip Sudworth (TFC),10
Tim Mennell,1,17.782,2610238,Tim Mennell (TFC Wellington),8
Niccolò Martinoli,1,17.957,1354660,1616 Niccol&ograve; Martinoli (Team Italy),6
Alessandro Gabrieli,1,18.671,2846874,Alessandro Gabrieli (Team Italy 3),5
Jason Feltus,1,18.677,91269,Jason Feltus&#128057; (CWkgCC),4
Marko Niederheide,1,18.686,601425,Marko Niederheide (Vegan Spinach),3
Patrick Harvey,1,18.822,88086,Patch Harvey (BRT Badgers),2
Yann Gauthier,1,19.001,2165224,Yann Gauthier,1
