name,time,zwid
Patch Harvey (BRT Badgers),149.775,88086
Patch Harvey (BRT Badgers),18.822,88086
Patch Harvey (BRT Badgers),18.822,88086
Philip Sudworth (TFC),16.829,314508
Philip Sudworth (TFC),16.829,314508
Jason Feltus&#128057; (CWkgCC),18.677,91269
Jason Feltus&#128057; (CWkgCC),18.677,91269
Jason Feltus&#128057; (CWkgCC),18.677,91269
Jason Feltus&#128057; (CWkgCC),18.677,91269
Jason Feltus&#128057; (CWkgCC),18.677,91269
