registered_name,gender,time,zwid,zp_name,points
Adam C.,1,1391.279999999999972715158946812152862548828125,70177,. ~ Cycopath ~ (Team Vegan),20
Chris Smart,1,1391.432000000000016370904631912708282470703125,1157845,GTR  GRINGO [nopinzR3R],15
Oliver Milk,1,1391.439000000000078216544352471828460693359375,50486,Oliver Milk [BRT],10
Alex TenElshof,1,1391.5039999999999054125510156154632568359375,485822,Alex TenElshof [Finesse],8
Zach Harner,1,1391.670000000000072759576141834259033203125,800272,Zach Harner [NOPINZR3R],6
Peter West,1,1391.69599999999991268850862979888916015625,456595,Peter West (R3R Dev),5
Joseph Chudyk,1,1391.71199999999998908606357872486114501953125,2568352,Joseph Chudyk [Finesse],4
Hans-Georg Becker,1,1391.8079999999999927240423858165740966796875,1765,H G.B.(Team Vegan)\U0001f43e,3
Hywel Davies,1,1391.852000000000089130480773746967315673828125,1119043,Hywel  Davies [BRT],2
Robert McEwan,1,1392.374000000000023646862246096134185791015625,619770,Robert McEwan (TFC Typhoon),1
