registered_name,gender,time,zwid,zp_name,points
Hywel Davies,1,961.561,1119043,Hywel Davies (BRT),12
Zach Harner,1,965.443,800272,Zach Harner (Nopinz R3R),10
Adam C.,1,971.966,70177,~ Cycopath ~ (Team Vegan) ,8
Chris Smart,1,981.461,1157845,CHRIS SMART (Nopinz R3R),7
Robert McEwan,1,1021.744,619770,Robert McEwan (TFC Typhoon),6
Sam Lashley,1,1024.666,267228,Sam Lashley (Socks4Watts WattBombs),5
Nick Hird,1,1040.948,54593,Nick Hird (CRYO RDT Men),4
Olivier Symoens,1,1042.325,1515010,Olivier Symoens,3
Antti Vale,1,1043.92,195687,Antti Valve (FZR),2
Alex TenElshof,1,1051.963,485822,Alex TenElshof &#127755; (Finesse),1
