registered_name,time,zwid,zp_name,points
Jeroen Speelmans,10.627,1401963,Jeroen Speelmans (LEQP Hunters),20
Evan Flater,10.672,1063791,E Flater (OTR FRAPPATTAK),15
Carl Krystek,10.986,609290,Carl Krystek (Team Vegan),10
john hughes,11.15,1354923,John Hughes (Electricspirit.co B3a),8
Martijn van der Vis,11.199,1452217,Martijn Van Der Vis (Vegan Barracudas),6
Daniel unt,11.219,182368,Daniel Hunt (LEQP Mistral),5
Darren Humphrey,11.319,2378415,Darren Humphrey,4
Simon Molyneux,11.33,216169,Simon Molyneux (Vegan Jalapenos),3
Dean dingle,11.332,1373912,Dean Dingle (R3R ACDC),2
James Eastwood,11.426,353326,James Eastwood (Socks4Watts #AeroAF),1
