registered_name,category,race_time,time_diff,zid,zp_name,team,subteam
Darren Humphrey,b,0:24:49.540000,0:00:06.935000,2378415,Darren Humphrey [ECC] ,"('None',)",
Gary Cowlam,b,0:24:50.019000,0:00:07.414000,169550,Gary Cowlam,"('WKG',)",
Neil Owens,b,0:24:50.021000,0:00:07.416000,423229,Neil Owens[Team Vegan],"('Team Vegan Badgers',)",
Fran Bambust,b,0:24:50.652000,0:00:08.047000,427114,Fran Bambust,"('Team RAVE',)",
Daniel Bolton,b,0:24:53.002000,0:00:10.397000,558697,Daniel Bolton (LEQP),"('LEQP',)",
Phil Daws,b,0:24:53.389000,0:00:10.784000,480820,P Daws \u24cb [Team Vegan],"('Team Vegan Bobcats',)",
Josh Nordell,b,0:24:54.796000,0:00:12.191000,1381321,Josh Nordell N\u2019Oregon (TFC),"('TFC',)",
Evan Flater,b,0:25:00.177000,0:00:17.572000,1063791,E Flater (OTR),"('On the Rivet',)",
Ryan Ness,b,0:25:23.755000,0:00:41.150000,2858658,ryan NESS   (TFC),"('TFC',)",
Ron Gallo,b,0:25:53.750000,0:01:11.145000,724812,Ron Gallo (OTR),"('On the Rivet',)",
Scott McGowan,b,0:25:53.776000,0:01:11.171000,185873,Scott McGowan \u24cb [Team Vegan],"('Green Machine',)",
Jeff Weinert,b,0:26:00.363000,0:01:17.758000,6555,j  weinert[DIRT],"('Base Media Racing',)",
Dave Brodmann,b,0:26:00.460000,0:01:17.855000,15543,Dave Brodmann(TFC),"('TFC',)",
Tilen Vrhunc,b,0:26:00.550000,0:01:17.945000,1357039,Tilen Vrhunc [VZT] \ud83c\udf31 ,"('Team Vegan Bobcats',)",
Will Hayes,b,0:26:00.563000,0:01:17.958000,632385,Will Hayes (ART Photons),"('ART Photons',)",
Tim Burdon,b,0:26:00.645000,0:01:18.040000,114936,Tim Burdon (Race3R),"('Race3R',)",
David Nickolls ,b,0:26:00.651000,0:01:18.046000,151724,David  Nickolls {TFC),"('TFC',)",
Patrick Söller,b,0:26:00.749000,0:01:18.144000,1462344,Patrick S\xf6ller (Vegan Bobcats),"('Team Vegan Bobcats',)",
Daniel Dugal,b,0:26:00.774000,0:01:18.169000,460142,Daniel Dugal V (Vegan Barracudas),"('Team Vegan Barracudas',)",
Joel Howard,b,0:26:00.897000,0:01:18.292000,1357971,Joel Howard STC [Team Vegan] ,"('Team Vegan Badgers',)",
James Cooper,b,0:26:02.071000,0:01:19.466000,1299986,James Cooper \ud83c\udf31\u24cb [Team Vegan],"('Team Vegan Badgers',)",
Jason Byles,b,0:26:02.203000,0:01:19.598000,1209191,Jason Byles (ART Photons),"('ART Photons',)",
Rob Lines,b,0:26:02.280000,0:01:19.675000,98667,R ob L (Tri-Anglia),"('Tri-Anglia',)",
Kate Robinson,b,0:26:02.412000,0:01:19.807000,867497,Kate Robinson (Socks4Watts Aero Unicorns),"('Socks4Watts',)",
Jonathan Jones,b,0:26:02.794000,0:01:20.189000,972568,Jonathan Jones [VEGAN BOBCATS],"('Team Vegan Bobcats',)",
Chris Stewart,b,0:26:03.229000,0:01:20.624000,557350,Chris Stewart (OTR),"('On the Rivet',)",
Carlos Marin,b,0:26:03.371000,0:01:20.766000,2533741,Carlos Marin (Vegan Barracudas),"('Team Vegan Barracudas',)",
Kristof schaep,b,0:26:04.011000,0:01:21.406000,1397294,Kristof Schaep,"('Green Machine',)",
Kevin Linsiamud,b,0:26:42.567000,0:01:59.962000,858499,Kevin L (OTR),"('On the Rivet',)",
Kev Taylor,b,0:26:43.968000,0:02:01.363000,1441922,Kev Taylor (ART Photons),"('ART Photons',)",
Manu Ndo,b,0:26:44.507000,0:02:01.902000,1457749,Manu Ndo,"('None',)",
Jurij,b,0:26:44.601000,0:02:01.996000,1736001,. Jurij [TV],"('Valhalla',)",
Andrew Connor,b,0:26:45.560000,0:02:02.955000,2362215,Andrew Connor (TBR Z4L1),"('TBR Racing',)",
Chris Green,b,0:26:46.428000,0:02:03.823000,251613,Chris  Green (ART Photons) ,"('ART Photons',)",
Nikolaj Therkelsen,b,0:26:46.744000,0:02:04.139000,150173,Nikolaj Therkelsen (Vegan Bobcats),"('Team Vegan Bobcats',)",
Duncan Samwell,b,0:26:46.905000,0:02:04.300000,64108,Duncan Samwell (Tri-Anglia),"('Tri-Anglia',)",
