registered_name,category,gender,race_time,time_diff,zid,zp_name,team,subteam
Andrew Robinson,a,1,0:25:06.833000,0:01:55.553000,100901,Andrew Robinson (TFC),TFC,
Mark Scoot,a,1,0:25:06.875000,0:01:55.595000,62584,Mark  Scoot [Team Vegan] ,Team Vegan Alpacas,
Dan welch,a,1,0:25:06.878000,0:01:55.598000,758463,Dan Welch  (C4C),Green machine,
Billy Laight,a,1,0:25:06.912000,0:01:55.632000,227155,Billy Laight (R3R DEV),R3R Dev Black Eyed Peas,
Joe Monks,a,1,0:25:07.058000,0:01:55.778000,559287,Joe Monks (Race3R),Race3R,
Tom Lovejoy,a,1,0:25:07.259000,0:01:55.979000,21298,T Lovejoy (R3R),Race3R,
James Hayward,a,1,0:25:07.327000,0:01:56.047000,410468,James Hayward (Socks4Watts),Socks4Watts,
Kilian Hemart,a,1,0:25:07.412000,0:01:56.132000,488019,Kilian [Team Vegan Antelopes],Team Vegan Antelopes,
Mark Suret,a,1,0:25:07.436000,0:01:56.156000,879426,Mark Suret (R3R Dev),R3R Dev Black Eyed Peas,
Stuart Gough,a,1,0:25:07.829000,0:01:56.549000,836562,Stuart Gough,Beds Road RT,
Erich Byers,a,1,0:25:08.199000,0:01:56.919000,1462466,Erich Byers [Team Vegan Antelopes],Team Vegan Antelopes,
Kristin Moat,a,2,0:25:08.276000,0:01:56.996000,415493,M oaty  (R3R Dev),R3R Dev Black Eyed Peas,
Goran Salavec,a,1,0:25:08.286000,0:01:57.006000,92474,Goran Salavec [R3R],Race3R,
Jude Milburn,a,1,0:25:08.408000,0:01:57.128000,1451885,Jude Milburn (Race3R),Race3R,
Rich Lythgoe,a,1,0:25:09.802000,0:01:58.522000,1503420,  Rich L [Team Vegan],Team Vegan Antelopes,
Simone Sighinolfi,a,1,0:25:10.121000,0:01:58.841000,1085650,Simone Sighinolfi \u24cb [TEAM VEGAN],Team Vegan Antelopes,
Erik Haugen,a,1,0:25:15.759000,0:02:04.479000,885598,Erik Haugen [nopinzR3R],NOPINZ R3R,
Stu Gardiner,a,1,0:25:22.736000,0:02:11.456000,446939,Stu Gardiner [Team Vegan],Team Vegan Antelopes,
Les Corran,a,1,0:26:00.614000,0:02:49.334000,255535,LES CORRAN (ART Nuclear),ART Nuclear,
Brent Dickie,a,1,0:26:04.147000,0:02:52.867000,210021,Brent Dickie [WTRL],On the Rivet,
Tom Bass,a,1,0:26:11.885000,0:03:00.605000,457241,Tom Bass (LEQP) ,LEQP,
Cody Juntikka,a,1,0:26:12.622000,0:03:01.342000,2651512,Cody Juntikka [OTR],On the Rivet,
Jonny Winward,a,1,0:26:13.098000,0:03:01.818000,53428,Jonny Winward (WKG),WKG,
Chris Debonnaire,a,1,0:27:05.660000,0:03:54.380000,1456559,Chris Debonnaire (S4W),Socks4Watts,
Giles Aldridge,a,1,0:27:06.458000,0:03:55.178000,1490752,Giles Aldridge (ART Nuclear),ART Nuclear,
Jens Holloch,a,1,0:27:06.751000,0:03:55.471000,2793838,Jens Holloch [Team Vegan],Green Machine,
Duncan Johnson,a,1,1:01:16.933000,0:38:05.653000,2124922,D. uncan (OTR Haze),On The Rivet,
Chris Smart,a,1,1:01:16.938000,0:38:05.658000,1157845,GTR  GRINGO [nopinzR3R],NOPINZ R3R,
Hans-Georg Becker,a,1,1:01:17.350000,0:38:06.070000,1765,H G.B.(Team Vegan)\ud83d\udc3e,Team Vegan Alpacas,
Oliver Milk,a,1,1:01:17.583000,0:38:06.303000,50486,Oliver Milk [BRT],BRT,
