registered_name,category,race_time,time_diff,zid,zp_name,team,subteam
Chantale Bouchard,c,0:27:39.329000,0:01:04.628000,224992,  Chalou[Team Vegan] ,"('Team Vegan Crocodiles',)",
Graham Mccrindle,c,0:27:39.873000,0:01:05.172000,90272,- Graham McC (ART Neutrons),"('ART Neutrons',)",
John Bamford,c,0:27:40.116000,0:01:05.415000,456955,John  John Bamford (ART Neutrons),"('ART Neutrons',)",
Nadezda Polakova,c,0:27:41.112000,0:01:06.411000,189794,Nada 78\ud83c\udf31 [VEGAN],"('Team Vegan Coconuts',)",
Morgan Bennett,c,0:27:48.011000,0:01:13.310000,1665071,Morgan Bennett [Vegan Coconuts],"('Team Vegan Coconuts',)",
Marco Xibilia,c,0:27:48.828000,0:01:14.127000,3102685,Marco Xibilia [ITA],"('Team ITALY',)",
Donnie Macaulay,c,0:28:03.780000,0:01:29.079000,867097,Donnie Macaulay (ART Neutrons),"('ART Neutrons',)",
Ari Tidhar,c,0:28:15.170000,0:01:40.469000,1178439,Ari Tidhar [Team Vegan] ,"('Team Vegan Crocodiles',)",
Matthew James,c,0:28:16.597000,0:01:41.896000,2919978,Matthew James (ART Isotopes),"('ART Isotopes',)",
Claudio Crivelli,c,0:28:16.793000,0:01:42.092000,1091366,Claudio Crivelli (C) [ITA5],"('Team ITALY',)",
Alex Semple,c,0:28:29.956000,0:01:55.255000,2507868,Alex Semple (ART Neutrons),"('ART Neutrons',)",
Jose Descoteaux,c,0:28:30.720000,0:01:56.019000,664787,Jose Descoteaux,"('Green Machine',)",
Marko Niederheide,c,0:28:31.338000,0:01:56.637000,601425,M arko [Team Vegan],"('Team Vegan Spinach',)",
Dario Finatti,c,0:28:31.689000,0:01:56.988000,844179,Dario Finatti (ITA),"('Team ITALY',)",
Mark Sanders,c,0:28:32,0:01:57.299000,2217260,Mark Sanders (ART Neutrons),"('ART Neutrons',)",
Allison Gates,c,0:28:32.354000,0:01:57.653000,1375378,Allison Gates [TEAM VEGAN],"('Team Vegan Spinach',)",
DarrinG,c,0:28:32.403000,0:01:57.702000,68443,Darrin Grace,"('Green Machine',)",
Michelle Gates,c,0:28:32.546000,0:01:57.845000,1375409,Michelle Gates \u24cb [TEAM VEGAN],"('Team Vegan Spinach',)",
Craig Christie ,c,0:28:35.577000,0:02:00.876000,130703,Craig  Christie \u26a1\ufe0fBRT ,"('BRT',)",
Ines Pfeilmeier,c,0:28:49.026000,0:02:14.325000,1604473,I KP [Team Vegan],"('Team Vegan Coconuts',)",
Val Cummings,c,0:28:49.090000,0:02:14.389000,2990367,Val Cummings \u24cb [Team Vegan / EFT],"('Team Vegan Crocodiles',)",
Tim Mennell,c,0:28:58.239000,0:02:23.538000,2610238,Tim Mennell (TFC),"('TFC',)",
Cath Walls,c,0:28:59.293000,0:02:24.592000,2956232,Cath Walls [TEAM VEGAN] ,"('Team Vegan Crocodiles',)",
Bruno Riollet,c,0:29:02.378000,0:02:27.677000,1534082,B runo Riollet (F),"('Green Machine',)",
