name,time,zwid
John Bragg (Vegan Spinach),22.196,2646918
Tim Mennell (TFC Wellington),23.17,2610238
david hill (TFC Lancaster),23.28,964610
Warren Honey&#129441; (BRT Badgers),23.409,1059788
Marko Niederheide (Vegan Spinach),24.023,601425
Nada 78 &#127793; (Team Vegan),24.5,189794
Rudi Peters (OTR Force),25.054,2682294
Philip Sudworth (TFC Kiiroi Maserati),25.359,314508
Joe Winning (ART neutrons),25.48,435308
Patch Harvey (BRT Badgers),25.941,88086
