registered_name,time,zwid,zp_name,points
Hywel Davies,9.809,1119043,Hywel Davies (BRT),20
Chris Smart,9.83,1157845,CHRIS SMART (Nopinz R3R),15
Scott Gleason,9.891,429529,Scott Gleason (Nopinz R3R),10
Duncan Johnson,9.902,2124922,Duncan Johnson (OTR),8
Olivier Symoens,10.018,1515010,Olivier Symoens,6
Alex TenElshof,10.109,485822,Alex TenElshof &#127755; (Finesse),5
Nick Hird,10.116,54593,Nick Hird (CRYO RDT Men),4
Hans-Georg Becker,10.192,1765,H-G Becker (VZT) &#128062;,3
Joseph Chudyk,10.211,2568352,Joseph Chudyk (Finesse),2
Joel Chidley,10.231,2366199,Joel Chidley (R3R 1Direction),1
