registered_name,category,gender,display_race_time,race_time,time_diff,zwid,zp_name,team,subteam
Duncan Johnson,a,1,1:01:16.933000,3676.9329999999999927240423858165740966796875,0:00:00,2124922,D. uncan (OTR Haze),On The Rivet,
Chris Smart,a,1,1:01:16.938000,3676.938000000000101863406598567962646484375,0:00:00.005000,1157845,GTR  GRINGO [nopinzR3R],NOPINZ R3R,
Hans-Georg Becker,a,1,1:01:17.350000,3677.34999999999990905052982270717620849609375,0:00:00.417000,1765,H G.B.(Team Vegan)\U0001f43e,Team Vegan Alpacas,
Oliver Milk,a,1,1:01:17.583000,3677.58300000000008367351256310939788818359375,0:00:00.650000,50486,Oliver Milk [BRT],BRT,
Hywel Davies,a,1,1:01:17.752000,3677.75199999999995270627550780773162841796875,0:00:00.819000,1119043,Hywel  Davies [BRT],BRT,
Olivier Symoens,a,1,1:01:17.778000,3677.77799999999979263520799577236175537109375,0:00:00.845000,1515010,Olivier Symoens [SPSD],Sportsolid,
Robert McEwan,a,1,1:01:17.875000,3677.875,0:00:00.942000,619770,Robert McEwan (TFC Typhoon),TFC,
Joseph Chudyk,a,1,1:01:18.104000,3678.10399999999981446308083832263946533203125,0:00:01.171000,2568352,Joseph Chudyk [Finesse],Finesse Rockets,
Adam C.,a,1,1:01:18.120000,3678.1199999999998908606357872486114501953125,0:00:01.187000,70177,. ~ Cycopath ~ (Team Vegan),Team Vegan Antelopes,
Zach Harner,a,1,1:01:18.155000,3678.15500000000020008883439004421234130859375,0:00:01.222000,800272,Zach Harner [nopinzR3R],NOPINZ R3R,
Nick Hird,a,1,1:01:18.307000,3678.3069999999997889972291886806488037109375,0:00:01.374000,54593,Nick Hird [CRYO RDT],CRYO-GEN,
Scott Gleason,a,1,1:01:18.314000,3678.31399999999985084286890923976898193359375,0:00:01.381000,429529,Scott Gleason [nopinzR3R],NOPINZ R3R,
Alex TenElshof,a,1,1:01:18.433000,3678.4329999999999927240423858165740966796875,0:00:01.500000,485822,Alex TenElshof [Finesse],Finesse Rockets,
Joel Chidley,a,1,1:01:18.997000,3678.99699999999984356691129505634307861328125,0:00:02.064000,2366199,Joel Chidley (R3R Dev),R3R Dev Red Hot Chilli Peppers,
Matt Looker,a,1,1:01:19.100000,3679.09999999999990905052982270717620849609375,0:00:02.167000,260941,Matt Looker [nopinzR3R],NOPINZ R3R,
Alex rockwell,a,1,1:01:19.573000,3679.57299999999986539478413760662078857421875,0:00:02.640000,960543,Alex  Rockwell,LEQP,
Sergio Martin Amat,a,1,1:01:19.925000,3679.9250000000001818989403545856475830078125,0:00:02.992000,600734,  Sergio A. (Purple Train),Purple Train,
Steven Brierley,a,1,1:01:20.045000,3680.045000000000072759576141834259033203125,0:00:03.112000,43160,Steven Brierley [nopinzR3R],NOPINZ R3R,
Noah Balch,a,1,1:01:20.287000,3680.28699999999980718712322413921356201171875,0:00:03.354000,1270113,Noah Balch [OTR Blur],On the Rivet,
Jono Martin,a,1,1:01:20.306000,3680.30600000000004001776687800884246826171875,0:00:03.373000,593346,Jono Martin (R3R Dev),R3R Dev Black Eyed Peas,
Leon O'Regan,a,1,1:01:20.322000,3680.322000000000116415321826934814453125,0:00:03.389000,397219,Leon O'Regan (TFC),TFC,
Tim Elskens,a,1,1:01:20.591000,3680.59099999999989449861459434032440185546875,0:00:03.658000,861277,Tim Elskens [SPSD],Sportsolid,
Antti Vale,a,1,1:01:20.661000,3680.6610000000000582076609134674072265625,0:00:03.728000,195687,Antti Valve (FZR),FZR,
Adam Schwengler,a,1,1:01:21.176000,3681.17599999999993087840266525745391845703125,0:00:04.243000,177457,Adam Schwengler (Vegan),Team Vegan Antelopes,
Goran Salavec,a,1,1:01:21.318000,3681.3180000000002110027708113193511962890625,0:00:04.385000,92474,Goran Salavec [R3R],Race3R,
Bart Nowaczek,a,1,1:01:21.623000,3681.62300000000004729372449219226837158203125,0:00:04.690000,358286,Bartosz Nowaczek,Team Vegan Alpacas,Alpacas/Vipers
Antonio Gatto,a,1,1:01:22.378000,3682.37800000000015643308870494365692138671875,0:00:05.445000,1107220,A. Gatto \u24cb  [Team Vegan],Team Vegan Alpacas,
Chris Pocock,a,1,1:01:22.431000,3682.43100000000004001776687800884246826171875,0:00:05.498000,419070,Chris Pocock (Socks4Watts),Socks4Watts,
Neil Turner,a,1,1:01:22.634000,3682.634000000000014551915228366851806640625,0:00:05.701000,1360468,Neil Turner (Race3R),Race3R,
Charlie Gaimster,a,1,1:03:04.094000,3784.0940000000000509317032992839813232421875,0:01:47.161000,2492533,Charlie Game* (P&M),Socks4Watts,WattBombs
Tom Lovejoy,a,1,1:03:06.372000,3786.37199999999984356691129505634307861328125,0:01:49.439000,21298,8 Lovejoy (R3R),Race3R,
Dan Stimson,a,1,1:03:27.036000,3807.0360000000000582076609134674072265625,0:02:10.103000,1739200,Dan Stimo (R3R Dev),R3R Dev Red Hot Chilli Peppers,
