registered_name,time,zwid,zp_name,points
Carlos Marin,30.443,2533741,Carlos Marin (Vegan Nighthawks),12
Nikolaj Therkelsen,31.711,150173,Nikolaj Therkelsen,10
Tobias Schmitt,32.941,1424719,Tobias Schmitt (ZRG),8
Alan Hugill,33.217,285500,Alan Hugill  (R3R THUNDER),7
Derek Mcintire,33.541,955953,Derek McIntire &#9419; (Vegan Arrows),6
Neil Hodgson,34.712,7520,Neil Hodgson (OTR Prolog) ,5
Daniel unt,35.345,182368,Daniel Hunt (LEQP Mistral),4
Jeroen Speelmans,35.895,1401963,Jeroen Speelmans (LEQP Hunters),3
Ryan Ness,36.869,2858658,Ryan Ness (TFC),2
Phil Daws,38.037,480820,Phil Daws &#9419; (Vegan Bobcats),1
