registered_name,gender,time,zwid,zp_name,points
Antti Vale,1,27.393,195687,Antti Valve (FZR),12
Adam C.,1,28.353,70177,~ Cycopath ~ (Team Vegan) ,10
Hywel Davies,1,29.159,1119043,Hywel Davies (BRT),8
Tim Elskens,1,29.196,861277,Tim Elskens (SPSD),7
Hans-Georg Becker,1,29.679,1765,H-G Becker (VZT) &#128062;,6
Nick Hird,1,29.903,54593,Nick Hird (CRYO RDT Men),5
Olivier Symoens,1,31.126,1515010,Olivier Symoens,4
Alex TenElshof,1,31.44,485822,Alex TenElshof &#127755; (Finesse),3
Robert McEwan,1,32.054,619770,Robert McEwan (TFC Typhoon),2
Duncan Johnson,1,32.165,2124922,Duncan Johnson (OTR),1
