registered_name,time,zwid,zp_name,points
Christopher Price,24.903,189331,Christopher Price (TT1 Hypers),20
Jimbo V,24.992,3297493,Jimbo Viny (TFC),15
Nathan Tully,27.3,2757731,Nathan Tully (SDW Youth),10
Leo Hughes,27.849,2403581,Leo Hughes [SDW] Youth,8
Mark Kassels,28.08,1554576,Mark Kassels(TT1 Humalogs)9115,6
Fiona Thomson,28.449,533788,Fiona Thomson (CMA),5
Cefn O'Ryan,28.603,740252,Cefn O&rsquo;Ryan (ART Fusion),4
Ladean Unser,28.63,86000,Ladean Unser [WTRL] (DraftingDinos2),3
Jason Watts,28.998,983355,Jason Watts &#9419; (Vegan CocoNuts),2
Mary Swindles,29.196,1140029,Mary Swindles (ART Fusion),1
