registered_name,category,gender,display_race_time,race_time,time_diff,zwid,zp_name,team,subteam
Robert McEwan,a,1,0:31:33.437000,1893.436999999999898136593401432037353515625,0:00:00,619770,Robert McEwan (TFC Typhoon),TFC,
Hywel Davies,a,1,0:31:55.493000,1915.49299999999993815436027944087982177734375,0:00:22.056000,1119043,Hywel  Davies,BRT,
Adam C.,a,1,0:32:23.270000,1943.26999999999998181010596454143524169921875,0:00:49.833000,70177,. ~ Cycopath ~ (Team Vegan),Team Vegan Antelopes,
Alex rockwell,a,1,0:32:34.721000,1954.72100000000000363797880709171295166015625,0:01:01.284000,960543,Alex  Rockwell (Race3R),LEQP,
Oliver Milk,a,1,0:32:41.223000,1961.222999999999956344254314899444580078125,0:01:07.786000,50486,Oliver Milk [BRT],BRT,
Nick Hird,a,1,0:32:44.828000,1964.82799999999997453414835035800933837890625,0:01:11.391000,54593,Nick Hird [CRYO RDT],CRYO-GEN,
Noah Balch,a,1,0:32:50.860000,1970.859999999999899955582804977893829345703125,0:01:17.423000,1270113,Noah Balch [OTR Blur],On the Rivet,
Leon O'Regan,a,1,0:32:54.770000,1974.76999999999998181010596454143524169921875,0:01:21.333000,397219,Leon O'Regan (TFC),TFC,
Bart Nowaczek,a,1,0:32:55.958000,1975.95800000000008367351256310939788818359375,0:01:22.521000,358286,Bartosz Nowaczek,Team Vegan Alpacas,Alpacas/Vipers
Matt Howell,a,1,0:33:01.885000,1981.884999999999990905052982270717620849609375,0:01:28.448000,1488790,Matt Howell \U0001f331,Green Machine,
Antti Vale,a,1,0:33:08.256000,1988.256000000000085492501966655254364013671875,0:01:34.819000,195687,Antti Valve [FZR],FZR,
Tim Elskens,a,1,0:33:08.844000,1988.8440000000000509317032992839813232421875,0:01:35.407000,861277,Tim Elskens [SPSD],Sportsolid,
Duncan Johnson,a,1,0:33:12.480000,1992.48000000000001818989403545856475830078125,0:01:39.043000,2124922,D. uncan (OTR),On The Rivet,
Chris Pocock,a,1,0:33:18.012000,1998.011999999999943611328490078449249267578125,0:01:44.575000,419070,Chris Pocock (Socks4Watts),Socks4Watts,
Brian Bishop,a,1,0:33:18.036000,1998.0360000000000582076609134674072265625,0:01:44.599000,3031036,B ishop (OTR),On the Rivet,
Joel Chidley,a,1,0:33:34.978000,2014.9780000000000654836185276508331298828125,0:02:01.541000,2366199,Joel Chidley (R3R Dev),R3R Dev Red Hot Chilli Peppers,
Mark Robinson,a,1,0:33:38.505000,2018.5050000000001091393642127513885498046875,0:02:05.068000,693429,M ROBBO (R3R Dev),R3R Dev Red Hot Chilli Peppers,
Luís Medeiros Pereira,a,1,0:33:41.979000,2021.979000000000041836756281554698944091796875,0:02:08.542000,270869,Luis Medeiros [Team Vegan] ,Team Vegan Alpacas,
Simon de Kerpel,a,1,0:33:54.631000,2034.631000000000085492501966655254364013671875,0:02:21.194000,401098,Simon de Kerpel (R3R Dev),R3R Dev Red Hot Chilli Peppers,
Antonio Gatto,a,1,0:33:56.911000,2036.9110000000000582076609134674072265625,0:02:23.474000,1107220,A. Gatto \u24cb  [Team Vegan],Team Vegan Alpacas,
Mike Sarnecki,a,1,0:34:07.579000,2047.578999999999950887286104261875152587890625,0:02:34.142000,6627,Mike Sarnecki,iGregari,
Neil Turner,a,1,0:34:07.697000,2047.696999999999889041646383702754974365234375,0:02:34.260000,1360468,Neil Turner (Race3R),Race3R,
Richard Woods,a,1,0:34:15.419000,2055.418999999999869032762944698333740234375,0:02:41.982000,436956,Richard Woods \u24cb [Team Vegan],Team Vegan Antelopes,
Mike Christensen,a,1,0:34:23.077000,2063.0770000000002255546860396862030029296875,0:02:49.640000,855068,Mike Christensen OTR,On the Rivet,
Dan Stimson,a,1,0:34:50.869000,2090.86900000000014188117347657680511474609375,0:03:17.432000,1739200,Dan Stimo (R3R Dev),R3R Dev Red Hot Chilli Peppers,
Erich Byers,a,1,0:34:55.768000,2095.76800000000002910383045673370361328125,0:03:22.331000,1462466,Erich Byers [Team Vegan Antelopes],Team Vegan Antelopes,
Colin Saunders,a,1,0:35:00.791000,2100.7910000000001673470251262187957763671875,0:03:27.354000,798491,Colin  Saunders [OTR],On the Rivet,
Simone Sighinolfi,a,1,0:35:05.505000,2105.5050000000001091393642127513885498046875,0:03:32.068000,1085650,Simone Sighinolfi \u24cb [TEAM VEGAN],Team Vegan Antelopes,
Jude Milburn,a,1,0:35:08.666000,2108.6660000000001673470251262187957763671875,0:03:35.229000,1451885,Jude Milburn (Race3R),Race3R,
Goran Salavec,a,1,0:35:18.574000,2118.57400000000006912159733474254608154296875,0:03:45.137000,92474,Goran Salavec R3R,Race3R,
Tom Bass,a,1,0:35:20.620000,2120.6199999999998908606357872486114501953125,0:03:47.183000,457241,Tom Bass (LEQP),LEQP,
Robin Braam,a,1,0:35:28.209000,2128.2089999999998326529748737812042236328125,0:03:54.772000,1344107,Robin Braam (Team Vegan),Team Vegan Alpacas,
Filipe Afonso,a,1,0:35:34.116000,2134.115999999999985448084771633148193359375,0:04:00.679000,2070175,Filipe Afonso (Jic Racing),JIC RACING TEAM,
Michael Pattinson,a,1,0:35:43.658000,2143.65799999999990177457220852375030517578125,0:04:10.221000,152708,M(ichael) P. (R3R DEV) 2,R3R Dev Red Hot Chilli Peppers,
Adam Schwengler,a,1,0:35:59.207000,2159.20699999999987994669936597347259521484375,0:04:25.770000,177457,Adam Schwengler (Vegan),Team Vegan Antelopes,
Ben Gamsa,a,1,0:36:07.354000,2167.35399999999981446308083832263946533203125,0:04:33.917000,4762,Ben Gamsa (R3R Dev),R3R Dev Red Hot Chilli Peppers,
Andrew Robinson,a,1,0:36:28.966000,2188.96599999999989449861459434032440185546875,0:04:55.529000,100901,Andrew Robinson (TFC),TFC,
Mark Suret,a,1,0:36:33.865000,2193.864999999999781721271574497222900390625,0:05:00.428000,879426,Mark Suret (R3R Dev),R3R Dev Black Eyed Peas,
Wells Willett,a,1,0:37:02.204000,2222.20400000000017826096154749393463134765625,0:05:28.767000,1927805,Wells Willett [Team Vegan],Team Vegan Antelopes,
Joe Monks,a,1,0:37:37.635000,2257.635000000000218278728425502777099609375,0:06:04.198000,559287,Joe Monks (Race3R),Race3R,
Rich Lythgoe,a,1,0:44:37.377000,2677.37699999999995270627550780773162841796875,0:13:03.940000,1503420,  Rich L [Team Vegan],Team Vegan Antelopes,
