zp_name,zid,category,race_time,time_diff,registered_name,team,subteam
Mark Humphreys (BRT),1679447,c,1:18:55.389000,0:10:30.901000,Mark Humphreys,"('BRT',)",
Zed  Sprocket,541028,c,1:18:57.134000,0:10:32.646000,Derren Craddock,"('Green Machine',)",
Rino Cal\xf2 [ITA],1497373,c,1:19:13.115000,0:10:48.627000,Rino Calo’,"('Team ITALY',)",
Cath Walls [TEAM VEGAN] ,2956232,c,1:19:32.240000,0:11:07.752000,Cath Walls,"('Team Vegan Crocodiles',)",
John  John Bamford (ART Neutrons),456955,c,1:21:10.586000,0:12:46.098000,John Bamford,"('ART Neutrons',)",
Steve Lytollis (ART Isotopes),1358214,c,1:21:44.219000,0:13:19.731000,Steve Lytollis,"('ART Isotopes',)",
Faye Armstrong,187279,c,1:23:46.510000,0:15:22.022000,Faye Armstrong ,"('Team RAVE',)",
Nada 78\ud83c\udf31 [VEGAN],189794,c,1:25:41.721000,0:17:17.233000,Nadezda Polakova,"('Team Vegan Coconuts',)",
Jo Fleming [Team Vegan],490655,c,1:25:44.378000,0:17:19.890000,Jo Fleming,"('Team Vegan Spinach',)",
Felicity C (Socks4Watts),1955420,c,1:41:33.992000,0:33:09.504000,Felicity Caddick,"('Socks4Watts',)",
