zp_name,zid,category,race_time,time_diff,registered_name,team,subteam
Ayaz Asif [TEAM VEGAN],7759,b,1:09:32.261000,0:04:29.098000,Ayaz Asif,"('Team Vegan Badgers',)",
Debra Sluz Parker (S4W),260577,b,1:09:32.452000,0:04:29.289000,Debra Sluz Parker,"('Kiss Racing Team',)",
  @vgn_cycl.matze [Team Vegan],547475,b,1:09:33.036000,0:04:29.873000,Matze,"('Team Vegan Barracudas',)",
Terry Skeet (Race3R),1035411,b,1:09:33.860000,0:04:30.697000,Terry Skeet,"('Race3R',)",
Gary Cowlam,169550,b,1:09:35.777000,0:04:32.614000,Gary Cowlam,"('WKG',)",
Duncan Samwell (Tri-Anglia),64108,b,1:09:36.375000,0:04:33.212000,Duncan Samwell,"('Tri-Anglia',)",
David  Nickolls {TFC),151724,b,1:11:32.747000,0:06:29.584000,David Nickolls ,"('TFC',)",
Gerald  Baister(Art Photons),593133,b,1:11:33.318000,0:06:30.155000,Gerald Baister,"('ART Photons',)",
Matthew Rockliff (TFC),50565,b,1:12:11.829000,0:07:08.666000,Matthew Rockliff,"('TFC',)",
Fran Bambust,427114,b,1:12:15.562000,0:07:12.399000,Fran Bambust,"('Team RAVE',)",
Scott McGowan \u24cb [Team Vegan],185873,b,1:12:36.039000,0:07:32.876000,Scott McGowan,"('Green Machine',)",
Atilla Yilmaz [Team Vegan],2288393,b,1:12:49.829000,0:07:46.666000,Atilla Yılmaz,"('Team Vegan Barracudas',)",
German Di Manzo (Vegan Badgers),1234306,b,1:12:50.151000,0:07:46.988000,German Di Manzo,"('Team Vegan Badgers',)",Arrows
James Black (Vegan Bobcats),888536,b,1:12:50.876000,0:07:47.713000,James Black,"('Team Vegan Bobcats',)",
Mike Reardon [Vegan Bobcats],199245,b,1:15:15.968000,0:10:12.805000,Mike Reardon,"('Team Vegan Bobcats',)",
Andrew Connor (TBR Z4L1),2362215,b,1:15:51.773000,0:10:48.610000,Andrew Connor,"('TBR Racing',)",
Nolan Wages,2985886,b,1:15:55.029000,0:10:51.866000,Nolan Wages,"('Green Machine',)",
Fabian Benjamin du Bernard [EVO],842922,b,1:15:55.321000,0:10:52.158000,Fabian du Bernard,"('Socks4Watts',)",
Fred Cerdeira [ Team Vegan VZT] ,652575,b,1:17:02.155000,0:11:58.992000,Fred Cerdeira,"('Team Vegan Barracudas',)",
Fatih Sever [Team Vegan],2019596,b,1:22:25.750000,0:17:22.587000,Fatih Sever,"('Team Vegan Badgers',)",
IVAN G.G.,2217046,b,1:25:49.858000,0:20:46.695000,IvanGG,"('Green Machine',)",
