registered_name,name,elapsed,zwid,team,subteam
Jeroen Speelmans,Jeroen Speelmans (LEQP Hunters),10.627,1401963,"('LEQP',)",
Evan Flater,E Flater (OTR),10.672,1063791,"('On the Rivet',)",
Carl Krystek,Carl Krystek (Team Vegan),10.986,609290,"('Team Vegan Barracudas',)",
James Eastwood,James Eastwood (Socks4Watts #AeroAF),13.351,353326,"('Socks4Watts',)",
Paul Tippins,Paul Tippins  (ART Protons),13.368,121731,"('ART Photons',)",
Evan Flater,E Flater (OTR),13.446,1063791,"('On the Rivet',)",
albert chan,Albert Chan (OTR),13.452,492994,"('On The Rivet',)",
David Akrigg,David Akrigg (R3R U2),13.528,561201,"('Race3r',)",
Josh Nordell,Josh Nordell (TFC),13.544,1381321,"('TFC',)",
