registered_name,category,race_time,time_diff,zid,zp_name,team,subteam
Ayaz Asif,b,1:09:32.261000,0:04:29.098000,7759,Ayaz Asif [TEAM VEGAN],"('Team Vegan Badgers',)",
Debra Sluz Parker,b,1:09:32.452000,0:04:29.289000,260577,Debra Sluz Parker (S4W),"('Kiss Racing Team',)",
Matze,b,1:09:33.036000,0:04:29.873000,547475,  @vgn_cycl.matze [Team Vegan],"('Team Vegan Barracudas',)",
Terry Skeet,b,1:09:33.860000,0:04:30.697000,1035411,Terry Skeet (Race3R),"('Race3R',)",
Gary Cowlam,b,1:09:35.777000,0:04:32.614000,169550,Gary Cowlam,"('WKG',)",
Duncan Samwell,b,1:09:36.375000,0:04:33.212000,64108,Duncan Samwell (Tri-Anglia),"('Tri-Anglia',)",
David Nickolls ,b,1:11:32.747000,0:06:29.584000,151724,David  Nickolls {TFC),"('TFC',)",
Gerald Baister,b,1:11:33.318000,0:06:30.155000,593133,Gerald  Baister(Art Photons),"('ART Photons',)",
Matthew Rockliff,b,1:12:11.829000,0:07:08.666000,50565,Matthew Rockliff (TFC),"('TFC',)",
Fran Bambust,b,1:12:15.562000,0:07:12.399000,427114,Fran Bambust,"('Team RAVE',)",
Scott McGowan,b,1:12:36.039000,0:07:32.876000,185873,Scott McGowan \u24cb [Team Vegan],"('Green Machine',)",
Atilla Yılmaz,b,1:12:49.829000,0:07:46.666000,2288393,Atilla Yilmaz [Team Vegan],"('Team Vegan Barracudas',)",
German Di Manzo,b,1:12:50.151000,0:07:46.988000,1234306,German Di Manzo (Vegan Badgers),"('Team Vegan Badgers',)",Arrows
James Black,b,1:12:50.876000,0:07:47.713000,888536,James Black (Vegan Bobcats),"('Team Vegan Bobcats',)",
Mike Reardon,b,1:15:15.968000,0:10:12.805000,199245,Mike Reardon [Vegan Bobcats],"('Team Vegan Bobcats',)",
Andrew Connor,b,1:15:51.773000,0:10:48.610000,2362215,Andrew Connor (TBR Z4L1),"('TBR Racing',)",
Nolan Wages,b,1:15:55.029000,0:10:51.866000,2985886,Nolan Wages,"('Green Machine',)",
Fabian du Bernard,b,1:15:55.321000,0:10:52.158000,842922,Fabian Benjamin du Bernard [EVO],"('Socks4Watts',)",
Fred Cerdeira,b,1:17:02.155000,0:11:58.992000,652575,Fred Cerdeira [ Team Vegan VZT] ,"('Team Vegan Barracudas',)",
Fatih Sever,b,1:22:25.750000,0:17:22.587000,2019596,Fatih Sever [Team Vegan],"('Team Vegan Badgers',)",
IvanGG,b,1:25:49.858000,0:20:46.695000,2217046,IVAN G.G.,"('Green Machine',)",
