registered_name,name,elapsed,zwid,team,subteam
Hywel Davies,Hywel Davies (BRT),9.809,1119043,"('BRT',)",
Chris Smart,CHRIS SMART (Nopinz R3R),9.83,1157845,"('NOPINZ R3R',)",
Scott Gleason,Scott Gleason (Nopinz R3R),9.891,429529,"('NOPINZ R3R',)",
Duncan Johnson,Duncan Johnson (OTR),9.902,2124922,"('On The Rivet',)",
Olivier Symoens,Olivier Symoens,10.018,1515010,"('Sportsolid',)",
Chris Pocock,Chris Pocock (Socks4Watts),12.955,419070,"('Socks4Watts',)",
Tom Lovejoy,Tom Lovejoy (R3R WASP),12.959,21298,"('Race3R',)",
Chris Smart,CHRIS SMART (Nopinz R3R),12.963,1157845,"('NOPINZ R3R',)",
Oliver Milk,Oliver Milk,12.999,50486,"('BRT',)",
