registered_name,category,gender,display_race_time,race_time,zwid,zp_name,team,subteam
Ladean Unser,d,2,5:40:21.208000,20421.2080,86000,Ladean Unser(DD2),WTRL,Drafting Dinos
Ellen Van Eeckhout,d,2,6:25:35.961000,23135.9610,2836546,Ellen Van Eeckhout [Team Vegan],Green Machine,
Dorothy Gibson,d,2,5:49:20.978000,20960.9780,143477,dorothy ottie g [WTRL](DraftingDinos1),WTRL,Drafting Dinos
Jen Collins,d,2,6:23:07.621000,22987.6210,2547684,Jen Collins(Vegan Fireflies),Team Vegan Fireflies,
Hilda van der Veen,d,2,6:15:05.095000,22505.0950,1058200,Dalih [Team Vegan],Team Vegan Fireflies,
Niene Niene ,d,2,7:11:49.641000,25909.6410,1464527,Niene Niene 1718  (WP-KC),KIRCHMAIR e-Cycling,
